City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Ushuaia,AR,2022-02-13 20:53:16,-54.8,-68.3,40.66,81,100,39.12,moderate rain
1,Magadan,RU,2022-02-13 20:53:16,59.5667,150.8,-5.19,67,40,9.64,scattered clouds
2,Kavieng,PG,2022-02-13 20:53:17,-2.5744,150.7967,81.09,78,97,6.31,overcast clouds
3,Kapaa,US,2022-02-13 20:53:17,22.0752,-159.319,76.12,69,59,1.99,broken clouds
4,Port Elizabeth,ZA,2022-02-13 20:53:17,-33.918,25.5701,70.09,78,0,11.5,clear sky
5,Seoul,KR,2022-02-13 20:51:30,37.5683,126.9778,27.79,87,0,3.44,clear sky
6,Krasnoselkup,RU,2022-02-13 20:53:18,65.7,82.4667,-0.96,92,72,13.27,broken clouds
7,Rikitea,PF,2022-02-13 20:53:18,-23.1203,-134.9692,78.46,72,83,11.5,light rain
8,Hobart,AU,2022-02-13 20:52:19,-42.8794,147.3294,62.02,81,75,11.5,broken clouds
9,Puerto Ayora,EC,2022-02-13 20:53:19,-0.7393,-90.3518,80.56,88,91,5.99,overcast clouds
10,Hithadhoo,MV,2022-02-13 20:53:19,-0.6,73.0833,81.81,75,77,9.44,broken clouds
11,Akureyri,IS,2022-02-13 20:53:20,65.6835,-18.0878,-2.27,84,0,0.0,clear sky
12,Altay,CN,2022-02-13 20:53:20,47.8667,88.1167,4.05,72,70,7.49,broken clouds
13,Barrow,US,2022-02-13 20:53:21,71.2906,-156.7887,-22.32,100,100,8.16,overcast clouds
14,Kodiak,US,2022-02-13 20:53:21,57.79,-152.4072,35.96,75,8,3.51,clear sky
15,Flinders,AU,2022-02-13 20:53:21,-34.5833,150.8552,70.38,79,100,4.0,overcast clouds
16,Mataura,NZ,2022-02-13 20:53:22,-46.1927,168.8643,54.48,87,24,1.99,few clouds
17,Lyubar,UA,2022-02-13 20:53:22,49.9204,27.7592,30.25,68,8,12.48,clear sky
18,Airai,TL,2022-02-13 20:53:23,-8.9266,125.4092,58.24,90,41,2.19,scattered clouds
19,Avera,US,2022-02-13 20:53:23,33.194,-82.5271,60.31,25,10,17.83,clear sky
20,Sitka,US,2022-02-13 20:53:23,57.0531,-135.33,39.42,90,100,5.93,light rain
21,Ostersund,SE,2022-02-13 20:52:28,63.1792,14.6357,36.05,87,100,11.5,overcast clouds
22,Esperance,AU,2022-02-13 20:53:24,-33.8667,121.9,57.04,75,6,10.2,clear sky
23,Pathein,MM,2022-02-13 20:53:24,16.7833,94.7333,62.67,82,50,5.93,scattered clouds
24,Kahului,US,2022-02-13 20:52:03,20.8947,-156.47,78.96,72,40,12.66,scattered clouds
25,Lieksa,FI,2022-02-13 20:53:25,63.3167,30.0167,31.86,98,100,13.49,light snow
26,Thompson,CA,2022-02-13 20:53:25,55.7435,-97.8558,-5.64,71,100,5.75,overcast clouds
27,Saskylakh,RU,2022-02-13 20:53:26,71.9167,114.0833,-17.19,87,28,2.98,scattered clouds
28,Kanker,IN,2022-02-13 20:53:26,20.2719,81.4931,56.82,28,7,2.55,clear sky
29,Tuktoyaktuk,CA,2022-02-13 20:53:27,69.4541,-133.0374,-32.8,68,75,3.44,broken clouds
30,Mglin,RU,2022-02-13 20:53:27,53.0591,32.8475,21.56,84,81,10.56,broken clouds
31,Siretel,RO,2022-02-13 20:53:28,47.4,26.7333,33.64,69,36,8.86,scattered clouds
32,Kaliua,TZ,2022-02-13 20:53:28,-5.0606,31.7936,66.02,95,100,3.94,light rain
33,Krasnokamensk,RU,2022-02-13 20:53:29,50.0979,118.0369,-23.26,100,93,3.27,overcast clouds
34,Vaini,TO,2022-02-13 20:53:29,-21.2,-175.2,82.56,83,40,9.22,scattered clouds
35,New Norfolk,AU,2022-02-13 20:53:29,-42.7826,147.0587,61.66,73,93,1.59,overcast clouds
36,Yenagoa,NG,2022-02-13 20:53:30,4.9247,6.2642,80.92,77,24,6.02,few clouds
37,Albany,US,2022-02-13 20:51:40,42.6001,-73.9662,26.02,52,100,4.0,overcast clouds
38,Ulaanbaatar,MN,2022-02-13 20:53:30,47.9077,106.8832,-20.07,76,40,2.24,scattered clouds
39,Nan,TH,2022-02-13 20:53:31,18.8333,100.6667,64.6,45,13,2.8,few clouds
40,Tiksi,RU,2022-02-13 20:53:31,71.6872,128.8694,-12.62,93,10,11.77,clear sky
41,Greymouth,NZ,2022-02-13 20:53:32,-42.4667,171.2,58.21,59,62,4.41,broken clouds
42,Qaanaaq,GL,2022-02-13 20:53:32,77.484,-69.3632,-7.01,86,100,3.96,overcast clouds
43,Busselton,AU,2022-02-13 20:53:33,-33.65,115.3333,63.05,77,0,11.48,clear sky
44,Mount Isa,AU,2022-02-13 20:53:33,-20.7333,139.5,71.37,94,25,1.14,scattered clouds
45,Cape Town,ZA,2022-02-13 20:49:18,-33.9258,18.4232,69.12,82,20,23.02,few clouds
46,Talnakh,RU,2022-02-13 20:53:34,69.4865,88.3972,-7.1,69,16,8.99,few clouds
47,Jamestown,US,2022-02-13 20:53:34,42.097,-79.2353,21.29,39,100,4.0,overcast clouds
