City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
2,Kavieng,PG,81.09,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
3,Kapaa,US,76.12,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
4,Port Elizabeth,ZA,70.09,clear sky,-33.918,25.5701,39 On Nile Guest House
7,Rikitea,PF,78.46,light rain,-23.1203,-134.9692,People ThankYou
8,Hobart,AU,62.02,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
9,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
10,Hithadhoo,MV,81.81,broken clouds,-0.6,73.0833,Scoop Guest House
15,Flinders,AU,70.38,overcast clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
19,Avera,US,60.31,clear sky,33.194,-82.5271,
23,Pathein,MM,62.67,scattered clouds,16.7833,94.7333,New Pammawaddy Hotel
24,Kahului,US,78.96,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
32,Kaliua,TZ,66.02,light rain,-5.0606,31.7936,Millennium Complex
34,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
35,New Norfolk,AU,61.66,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
36,Yenagoa,NG,80.92,few clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
39,Nan,TH,64.6,few clouds,18.8333,100.6667,สะเนียน2
43,Busselton,AU,63.05,clear sky,-33.65,115.3333,Observatory Guest House
44,Mount Isa,AU,71.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
45,Cape Town,ZA,69.12,few clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
49,Takoradi,GH,79.43,light rain,4.8845,-1.7554,Raybow International Hotel
50,Lorengau,PG,80.6,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
54,Saint-Philippe,RE,80.19,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
55,San Patricio,US,66.29,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
57,Portland,US,64.27,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
60,Chincha Alta,PE,77.59,few clouds,-13.4099,-76.1323,Buena Vista Casa Hotel
61,East London,ZA,73.2,broken clouds,-33.0153,27.9116,Tu Casa
62,Yarada,IN,68.32,mist,17.65,83.2667,Yarada Jungle Beach Resorts
